"id","description","last_updated"
"171790","Beef, ground, 95% lean meat / 5% fat, raw","2019-04-01"
"171791","Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled","2019-04-01"
"171792","Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled","2019-04-01"
"171793","Beef, ground, 90% lean meat / 10% fat, patty, cooked, pan-broiled","2019-04-01"
"171794","Beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned","2019-04-01"
"171795","Beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked","2019-04-01"
"171796","Beef, ground, 85% lean meat / 15% fat, raw (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"171797","Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled","2019-04-01"
"171798","Beef, ground, 80% lean meat / 20% fat, patty, cooked, pan-broiled","2019-04-01"
"171799","Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned","2019-04-01"
"171800","Beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked","2019-04-01"
"171801","Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked","2019-04-01"
"171802","Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, select, raw","2019-04-01"
"171803","Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, select, raw","2019-04-01"
"171804","Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, select, raw","2019-04-01"
"171805","Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled","2019-04-01"
"171806","Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted","2019-04-01"
"171807","Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted","2019-04-01"
"171808","Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, broiled","2019-04-01"
"171809","Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted","2019-04-01"
"171810","Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"171811","Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled","2019-04-01"
"171812","Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"171813","Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled","2019-04-01"
"171814","Beef, short loin, top loin steak, separable lean only, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"171815","Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled","2019-04-01"
"171816","Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"171817","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised","2019-04-01"
"171818","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised","2019-04-01"
"171819","Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw","2019-04-01"
"171820","Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, choice, raw","2019-04-01"
"171821","Soup, wonton, Chinese restaurant","2019-04-01"
"171822","Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium","2019-04-01"
"171823","Sauce, duck, ready-to-serve","2019-04-01"
"171824","Sauce, salsa, verde, ready-to-serve","2019-04-01"
"171825","Sauce, steak, tomato based","2019-04-01"
"171826","Sauce, tartar, ready-to-serve","2019-04-01"
"171827","Sauce, barbecue, SWEET BABY RAY'S, original","2019-04-01"
"171828","Sauce, barbecue, BULL'S-EYE, original","2019-04-01"
"171829","Sauce, barbecue, KC MASTERPIECE, original","2019-04-01"
"171830","Sauce, barbecue, OPEN PIT, original","2019-04-01"
"171831","Wasabi","2019-04-01"
"171832","Dip, bean, original flavor","2019-04-01"
"171833","Sauce, horseradish","2019-04-01"
"171834","Dip, FRITO'S, bean, original flavor","2019-04-01"
"171835","Cookie, vanilla with caramel, coconut, and chocolate coating","2019-04-01"
"171836","Cookie, with peanut butter filling, chocolate-coated","2019-04-01"
"171837","Cookies, animal, with frosting or icing","2019-04-01"
"171838","Crackers, multigrain","2019-04-01"
"171839","Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber","2019-04-01"
"171840","Cookies, brownies, commercially prepared, reduced fat, with added fiber","2019-04-01"
"171841","Cookies, chocolate sandwich, with creme filling, reduced fat","2019-04-01"
"171842","Cookies, oatmeal sandwich, with creme filling","2019-04-01"
"171843","Cookies, peanut butter, commercially prepared, sugar free","2019-04-01"
"171844","Bread, chapati or roti, plain, commercially prepared","2019-04-01"
"171845","Bread, naan, plain, commercially prepared, refrigerated","2019-04-01"
"171846","Crackers, standard snack-type, with whole wheat","2019-04-01"
"171847","Cookies, coconut macaroon","2019-04-01"
"171848","Crackers, sandwich-type, peanut butter filled, reduced fat","2019-04-01"
"171849","Bread, cinnamon","2019-04-01"
"171850","Bread, wheat, sprouted","2019-04-01"
"171851","Bread, wheat, sprouted, toasted","2019-04-01"
"171852","Bagels, multigrain","2019-04-01"
"171853","Pancakes, whole wheat, dry mix, incomplete","2019-04-01"
"171854","Crackers, toast thins, low sodium","2019-04-01"
"171855","Crackers, whole grain, sandwich-type, with peanut butter filling","2019-04-01"
"171856","Crackers, water biscuits","2019-04-01"
"171857","Cookies, gluten-free, chocolate sandwich, with creme filling","2019-04-01"
"171858","Cookies, gluten-free, chocolate wafer","2019-04-01"
"171859","Cookies, gluten-free, lemon wafer","2019-04-01"
"171860","Cookies, gluten-free, vanilla sandwich, with creme filling","2019-04-01"
"171861","Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch","2019-04-01"
"171862","Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch","2019-04-01"
"171863","Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour","2019-04-01"
"171864","Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour","2019-04-01"
"171865","Cookies, oatmeal, reduced fat","2019-04-01"
"171866","Cookies, chocolate cream covered biscuit sticks","2019-04-01"
"171867","Cookies, Marie biscuit","2019-04-01"
"171868","Cookies, vanilla sandwich with creme filling, reduced fat","2019-04-01"
"171869","Beverages, carbonated, tonic water","2019-04-01"
"171870","Beverages, Energy drink, RED BULL, sugar free, with added caffeine, niacin, pantothenic acid, vitamins B6 and B12","2019-04-01"
"171871","Beverages, carbonated, root beer","2019-04-01"
"171872","Alcoholic Beverage, wine, table, red, Gamay","2019-04-01"
"171873","Beverages, chocolate drink, milk and soy based, ready to drink, fortified","2019-04-01"
"171874","Beverages, chocolate malt powder, prepared with 1% milk, fortified","2019-04-01"
"171875","Beverages, carbonated, limeade, high caffeine","2019-04-01"
"171876","Beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine","2019-04-01"
"171877","Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened","2019-04-01"
"171878","Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C","2019-04-01"
"171879","Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk","2019-04-01"
"171880","Beverages, coffee, ready to drink, milk based, sweetened","2019-04-01"
"171881","Beverages, coffee, brewed, breakfast blend","2019-04-01"
"171882","Beverages, Clam and tomato juice, canned","2019-04-01"
"171883","Beverages, tea, green, ready to drink, ginseng and honey, sweetened","2019-04-01"
"171884","Beverages, The COCA-COLA company, Minute Maid, Lemonade","2019-04-01"
"171885","Beverages, tea, green, ready-to-drink, diet","2019-04-01"
"171886","Beverages, Cocoa mix, no sugar added, powder","2019-04-01"
"171887","Cocoa mix, NESTLE, Rich Chocolate Hot Cocoa Mix","2019-04-01"
"171888","Beverages, tea, black, ready-to-drink, lemon, sweetened","2019-04-01"
"171889","Beverages, coffee, brewed, prepared with tap water, decaffeinated","2019-04-01"
"171890","Beverages, coffee, brewed, prepared with tap water","2019-04-01"
"171891","Beverages, coffee, brewed, espresso, restaurant-prepared","2019-04-01"
"171892","Beverages, tea, black, ready-to-drink, lemon, diet","2019-04-01"
"171893","Beverages, coffee, instant, regular, powder","2019-04-01"
"171894","Beverages, coffee, instant, decaffeinated, prepared with water","2019-04-01"
"171895","Beverages, OCEAN SPRAY, Cranberry-Apple Juice Drink, bottled","2019-04-01"
"171896","Beverages, OCEAN SPRAY, Diet Cranberry Juice","2019-04-01"
"171897","Beverages, coffee, instant, with chicory","2019-04-01"
"171898","Beverages, KRAFT, coffee, instant, French Vanilla Cafe","2019-04-01"
"171899","Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink","2019-04-01"
"171900","Beverages, OCEAN SPRAY, Cran Lemonade","2019-04-01"
"171901","Beverages, OCEAN SPRAY, Diet Cran Cherry","2019-04-01"
"171902","Beverages, cranberry-grape juice drink, bottled","2019-04-01"
"171903","Cranberry juice cocktail, bottled","2019-04-01"
"171904","Cranberry juice cocktail, bottled, low calorie, with calcium, saccharin and corn sweetener","2019-04-01"
"171905","Beverages, Eggnog-flavor mix, powder, prepared with whole milk","2019-04-01"
"171906","Alcoholic beverages, beer, higher alcohol","2019-04-01"
"171907","Beverages, Malt liquor beverage","2019-04-01"
"171908","Alcoholic beverages, wine, rose","2019-04-01"
"171909","Beverages, OCEAN SPRAY, Cran Pomegranate","2019-04-01"
"171910","Beverages, tea, green, brewed, decaffeinated","2019-04-01"
"171911","Beverages, tea, green, ready to drink, unsweetened","2019-04-01"
"171912","Beverages, citrus fruit juice drink, frozen concentrate","2019-04-01"
"171913","Beverages, citrus fruit juice drink, frozen concentrate, prepared with water","2019-04-01"
"171914","Beverages, fruit punch drink, without added nutrients, canned","2019-04-01"
"171915","Beverages, Tropical Punch, ready-to-drink","2019-04-01"
"171916","Beverages, grape drink, canned","2019-04-01"
"171917","Beverages, tea, green, brewed, regular","2019-04-01"
"171918","Beverages, tea, instant, lemon, with added ascorbic acid","2019-04-01"
"171919","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","2019-04-01"
"171920","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof","2019-04-01"
"171921","Carbonated beverage, chocolate-flavored soda","2019-04-01"
"171922","Beverages, water, bottled, non-carbonated, EVIAN","2019-04-01"
"171923","Beverages, Powerade Zero Ion4, calorie-free, assorted flavors","2019-04-01"
"171924","Beverages, WENDY'S, tea, ready-to-drink, unsweetened","2019-04-01"
"171925","Alcoholic Beverage, wine, table, red, Merlot","2019-04-01"
"171926","Water, non-carbonated, bottles, natural fruit flavors, sweetened with low calorie sweetener","2019-04-01"
"171927","Beverages, V8 SPLASH Juice Drinks, Diet Tropical Blend","2019-04-01"
"171928","Beverages, V8 SPLASH Juice Drinks, Berry Blend","2019-04-01"
"171929","Beverages, V8 SPLASH Juice Drinks, Fruit Medley","2019-04-01"
"171930","Beverages, V8 SPLASH Juice Drinks, Guava Passion Fruit","2019-04-01"
"171931","Beverages, V8 SPLASH Juice Drinks, Strawberry Kiwi","2019-04-01"
"171932","Beverages, V8 SPLASH Juice Drinks, Tropical Blend","2019-04-01"
"171933","Beverages, V8 V-FUSION Juices, Peach Mango","2019-04-01"
"171934","Beverages, V8 V-FUSION Juices, Strawberry Banana","2019-04-01"
"171935","Beverages, Energy Drink, Monster, fortified with vitamins C, B2, B3, B6, B12","2019-04-01"
"171936","Beverages, Energy drink, AMP, sugar free","2019-04-01"
"171937","Beverages, Energy drink, ROCKSTAR","2019-04-01"
"171938","Beverages, Energy drink, ROCKSTAR, sugar free","2019-04-01"
"171939","Beverages, Meal supplement drink, canned, peanut flavor","2019-04-01"
"171940","Water, with corn syrup and/or sugar and low calorie sweetener, fruit flavored","2019-04-01"
"171941","Beverages, Horchata, as served in restaurant","2019-04-01"
"171942","Beverages, rice milk, unsweetened","2019-04-01"
"171943","Beverages, Energy drink, VAULT, citrus flavor","2019-04-01"
"171944","Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium","2019-04-01"
"171945","Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin","2019-04-01"
"171946","Beverages, tea, hibiscus, brewed","2019-04-01"
"171947","Beverages, fruit juice drink, greater than 3% juice, high vitamin C","2019-04-01"
"171948","Fish, bass, striped, raw","2019-04-01"
"171949","Fish, bluefish, raw","2019-04-01"
"171950","Fish, burbot, raw","2019-04-01"
"171951","Fish, butterfish, raw","2019-04-01"
"171952","Fish, carp, raw","2019-04-01"
"171953","Fish, cisco, raw","2019-04-01"
"171954","Fish, cisco, smoked","2019-04-01"
"171955","Fish, cod, Atlantic, raw","2019-04-01"
"171956","Fish, cod, Atlantic, cooked, dry heat","2019-04-01"
"171957","Fish, croaker, Atlantic, cooked, breaded and fried","2019-04-01"
"171958","Fish, cusk, raw","2019-04-01"
"171959","Fish, mahimahi, raw","2019-04-01"
"171960","Fish, drum, freshwater, raw","2019-04-01"
"171961","Fish, gefiltefish, commercial, sweet recipe","2019-04-01"
"171962","Fish, grouper, mixed species, raw","2019-04-01"
"171963","Fish, grouper, mixed species, cooked, dry heat","2019-04-01"
"171964","Fish, haddock, raw","2019-04-01"
"171965","Fish, halibut, Greenland, raw","2019-04-01"
"171966","Crustaceans, crab, blue, canned","2019-04-01"
"171967","Crustaceans, crab, blue, crab cakes, home recipe","2019-04-01"
"171968","Crustaceans, crab, dungeness, raw","2019-04-01"
"171969","Crustaceans, crab, queen, raw","2019-04-01"
"171970","Crustaceans, shrimp, mixed species, cooked, breaded and fried","2019-04-01"
"171971","Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)","2019-04-01"
"171972","Crustaceans, shrimp, mixed species, canned","2019-04-01"
"171973","Crustaceans, shrimp, mixed species, imitation, made from surimi","2019-04-01"
"171974","Mollusks, clam, mixed species, cooked, breaded and fried","2019-04-01"
"171975","Mollusks, clam, mixed species, cooked, moist heat","2019-04-01"
"171976","Mollusks, clam, mixed species, canned, drained solids","2019-04-01"
"171977","Mollusks, clam, mixed species, canned, liquid","2019-04-01"
"171978","Mollusks, oyster, eastern, wild, raw","2019-04-01"
"171979","Mollusks, oyster, eastern, cooked, breaded and fried","2019-04-01"
"171980","Mollusks, oyster, eastern, wild, cooked, moist heat","2019-04-01"
"171981","Mollusks, oyster, eastern, canned","2019-04-01"
"171982","Mollusks, squid, mixed species, cooked, fried","2019-04-01"
"171983","Mollusks, whelk, unspecified, raw","2019-04-01"
"171984","Mollusks, whelk, unspecified, cooked, moist heat","2019-04-01"
"171985","Fish, salmon, chinook, smoked, (lox), regular","2019-04-01"
"171986","Fish, tuna, light, canned in water, without salt, drained solids","2019-04-01"
"171987","Fish, tuna, white, canned in oil, without salt, drained solids","2019-04-01"
"171988","Fish, tuna, white, canned in water, without salt, drained solids","2019-04-01"
"171989","Fish, bass, freshwater, mixed species, cooked, dry heat","2019-04-01"
"171990","Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)","2019-04-01"
"171991","Fish, cusk, cooked, dry heat","2019-04-01"
"171992","Fish, mahimahi, cooked, dry heat","2019-04-01"
"171993","Fish, drum, freshwater, cooked, dry heat","2019-04-01"
"171994","Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat","2019-04-01"
"171995","Fish, milkfish, cooked, dry heat","2019-04-01"
"171996","Fish, monkfish, cooked, dry heat","2019-04-01"
"171997","Fish, pike, walleye, cooked, dry heat","2019-04-01"
"171998","Fish, salmon, Atlantic, wild, cooked, dry heat","2019-04-01"
"171999","Fish, salmon, chinook, cooked, dry heat","2019-04-01"
"172000","Fish, salmon, chum, cooked, dry heat","2019-04-01"
"172001","Fish, salmon, pink, cooked, dry heat","2019-04-01"
"172002","Fish, sucker, white, cooked, dry heat","2019-04-01"
"172003","Fish, sunfish, pumpkin seed, cooked, dry heat","2019-04-01"
"172004","Fish, trout, mixed species, cooked, dry heat","2019-04-01"
"172005","Fish, tuna, skipjack, fresh, cooked, dry heat","2019-04-01"
"172006","Fish, tuna, yellowfin, fresh, cooked, dry heat","2019-04-01"
"172007","Crustaceans, crab, dungeness, cooked, moist heat","2019-04-01"
"172008","Crustaceans, crab, queen, cooked, moist heat","2019-04-01"
"172009","Crustaceans, spiny lobster, mixed species, cooked, moist heat","2019-04-01"
"172010","Mollusks, cuttlefish, mixed species, cooked, moist heat","2019-04-01"
"172011","Beerwurst, beer salami, pork and beef","2019-04-01"
"172012","Bologna, beef","2019-04-01"
"172013","Bologna, beef and pork","2019-04-01"
"172014","Pasta, cooked, unenriched, with added salt","2019-04-01"
"172015","Cornmeal, degermed, unenriched, white","2019-04-01"
"172016","Wheat flour, white (industrial), 9% protein, bleached, enriched","2019-04-01"
"172017","Wheat flour, white (industrial), 9% protein, bleached, unenriched","2019-04-01"
"172018","Wheat flour, white (industrial), 10% protein, bleached, enriched","2019-04-01"
"172019","Wheat flour, white (industrial), 10% protein, bleached, unenriched","2019-04-01"
"172020","Wheat flour, white (industrial), 13% protein, bleached, unenriched","2019-04-01"
"172021","Wheat flour, white (industrial), 15% protein, bleached, enriched","2019-04-01"
"172022","Wheat flour, white (industrial), 15% protein, bleached, unenriched","2019-04-01"
"172023","Millet flour","2019-04-01"
"172024","Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"172025","Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"172026","Pasta, gluten-free, brown rice flour, cooked, TINKYADA","2019-04-01"
"172027","Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST","2019-04-01"
"172028","Fast Foods, biscuit, with egg and sausage","2019-04-01"
"172029","Fast foods, biscuit, with egg, cheese, and bacon","2019-04-01"
"172030","Fast foods, biscuit, with ham","2019-04-01"
"172031","Fast foods, biscuit, with sausage","2019-04-01"
"172032","Fast foods, english muffin, with cheese and sausage","2019-04-01"
"172033","Fast foods, english muffin, with egg, cheese, and canadian bacon","2019-04-01"
"172034","Fast foods, english muffin, with egg, cheese, and sausage","2019-04-01"
"172035","Fast foods, french toast sticks","2019-04-01"
"172036","Fast foods, sundae, strawberry","2019-04-01"
"172037","Fast foods, shrimp, breaded and fried","2019-04-01"
"172038","Fast foods, burrito, with beans","2019-04-01"
"172039","Fast foods, burrito, with beans and cheese","2019-04-01"
"172040","PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust","2019-04-01"
"172041","PIZZA HUT 12"" Cheese Pizza, Pan Crust","2019-04-01"
"172042","PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust","2019-04-01"
"172043","DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust","2019-04-01"
"172044","DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust","2019-04-01"
"172045","DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust","2019-04-01"
"172046","DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza, Classic Hand-Tossed Crust","2019-04-01"
"172047","LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust","2019-04-01"
"172048","LITTLE CAESARS 14"" Original Round Pepperoni Pizza, Regular Crust","2019-04-01"
"172049","LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza, Regular Crust","2019-04-01"
"172050","LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust","2019-04-01"
"172051","PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust","2019-04-01"
"172052","PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust","2019-04-01"
"172053","PIZZA HUT 14"" Pepperoni Pizza, Pan Crust","2019-04-01"
"172054","PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust","2019-04-01"
"172055","Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust","2019-04-01"
"172056","Fast foods, griddle cake sandwich, egg, cheese, and sausage","2019-04-01"
"172057","Fast foods, griddle cake sandwich, sausage","2019-04-01"
"172058","Fast foods, griddle cake sandwich, egg, cheese, and bacon","2019-04-01"
"172059","McDONALD'S, Sausage McGRIDDLES","2019-04-01"
"172060","McDONALD'S, Sausage, Egg & Cheese McGRIDDLES","2019-04-01"
"172061","McDONALD'S, Vanilla Reduced Fat Ice Cream Cone","2019-04-01"
"172062","McDONALD'S, Strawberry Sundae","2019-04-01"
"172063","McDONALD'S, Sausage Burrito","2019-04-01"
"172064","McDONALD'S, BIG BREAKFAST","2019-04-01"
"172065","McDONALD'S, Double Cheeseburger","2019-04-01"
"172066","McDONALD'S, DOUBLE QUARTER POUNDER with Cheese","2019-04-01"
"172067","McDONALD'S, BIG MAC (without Big Mac Sauce)","2019-04-01"
"172068","McDONALD'S, Sausage McMUFFIN with Egg","2019-04-01"
"172069","McDONALD'S, Bacon Egg & Cheese Biscuit","2019-04-01"
"172070","McDONALD'S, Sausage Biscuit","2019-04-01"
"172071","McDONALD'S, Sausage Biscuit with Egg","2019-04-01"
"172072","McDONALD'S Bacon Ranch Salad with Crispy Chicken","2019-04-01"
"172073","McDONALD'S, Bacon Ranch Salad without chicken","2019-04-01"
"172074","McDONALD'S, Side Salad","2019-04-01"
"172075","McDONALD'S, Fruit 'n Yogurt Parfait","2019-04-01"
"172076","BURGER KING, CROISSAN'WICH with Egg and Cheese","2019-04-01"
"172077","BURGER KING, french toast sticks","2019-04-01"
"172078","BURGER KING, Hash Brown Rounds","2019-04-01"
"172079","Fast foods, miniature cinnamon rolls","2019-04-01"
"172080","Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise","2019-04-01"
"172081","Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise","2019-04-01"
"172082","Fast foods, cheeseburger; single, large patty; with condiments","2019-04-01"
"172083","Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise","2019-04-01"
"172084","Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce","2019-04-01"
"172085","Light Ice Cream, soft serve, blended with cookie pieces","2019-04-01"
"172086","POPEYES, biscuit","2019-04-01"
"172087","POPEYES, Coleslaw","2019-04-01"
"172088","POPEYES, Mild Chicken Strips, analyzed 2006","2019-04-01"
"172089","Spaghetti with meat sauce, frozen entree","2019-04-01"
"172090","Beef macaroni with tomato sauce, frozen entree, reduced fat","2019-04-01"
"172091","Pasta with Sliced Franks in Tomato Sauce, canned entree","2019-04-01"
"172092","Turkey Pot Pie, frozen entree","2019-04-01"
"172093","Beef Pot Pie, frozen entree, prepared","2019-04-01"
"172094","Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased","2019-04-01"
"172095","Pizza, meat topping, thick crust, frozen, cooked","2019-04-01"
"172096","Pizza, pepperoni topping, regular crust, frozen, cooked","2019-04-01"
"172097","Chili con carne with beans, canned entree","2019-04-01"
"172098","Chili, no beans, canned entree","2019-04-01"
"172099","Spaghetti, with meatballs in tomato sauce, canned","2019-04-01"
"172100","Pasta with tomato sauce, no meat, canned","2019-04-01"
"172101","Lasagna with meat & sauce, low-fat, frozen entree","2019-04-01"
"172102","Burrito, beef and bean, microwaved","2019-04-01"
"172103","Egg rolls, pork, refrigerated, heated","2019-04-01"
"172104","Egg rolls, chicken, refrigerated, heated","2019-04-01"
"172105","Egg rolls, vegetable, frozen, prepared","2019-04-01"
"172106","Lasagna, Vegetable, frozen, baked","2019-04-01"
"172107","HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen","2019-04-01"
"172108","LEAN POCKETS, Ham N Cheddar","2019-04-01"
"172109","Lean Pockets, Meatballs & Mozzarella","2019-04-01"
"172110","Chili with beans, microwavable bowls","2019-04-01"
"172111","Chicken, nuggets, dark and white meat, precooked, frozen, not reheated","2019-04-01"
"172112","Chicken, nuggets, white meat, precooked, frozen, not reheated","2019-04-01"
"172113","Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees","2019-04-01"
"172114","Lasagna with meat sauce, frozen, prepared","2019-04-01"
"172115","Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled","2019-04-01"
"172116","Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, raw","2019-04-01"
"172117","Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled","2019-04-01"
"172118","Beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"172119","Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"172120","Beef, round, knuckle, tip side, steak, separable lean and fat , trimmed to 0"" fat, select, raw","2019-04-01"
"172121","Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"172122","Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, choice, raw","2019-04-01"
"172123","Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, raw","2019-04-01"
"172124","Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"172125","Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, raw","2019-04-01"
"172126","Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"172127","Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"172128","Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw","2019-04-01"
"172129","Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"172130","Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, raw","2019-04-01"
"172131","Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"172132","Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades, raw","2019-04-01"
"172133","Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"172134","Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw","2019-04-01"
"172135","Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"172136","Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"172137","Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw","2019-04-01"
"172138","Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"172139","Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw","2019-04-01"
"172140","Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"172141","Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw","2019-04-01"
"172142","Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"172143","Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw","2019-04-01"
"172144","Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"172145","Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, all grades, raw","2019-04-01"
"172146","Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, cooked, braised","2019-04-01"
